mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;porcentage_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Hammamet;الحمامات;Liste partisane;Ennahdha;حزب حركة النھضة;2995;0,205545261;6;43262;408;229;14571;15208
El Hencha;الحنشة;Liste partisane;Ennahdha;حزب حركة النھضة;1449;0,318671652;8;16205;223;73;4547;4843
Khelidia;الخليدية;Liste partisane;Ennahdha;حزب حركة النھضة;944;0,328919861;6;7617;160;92;2870;3122
Khmeyria;الخمايرية;Liste partisane;Ennahdha;حزب حركة النھضة;539;0,271126761;5;7137;203;52;1988;2243
Den - Den;الدندان;Liste partisane;Ennahdha;حزب حركة النھضة;1769;0,402777778;10;16450;188;139;4392;4719
Dahmani;الدهماني;Liste partisane;Ennahdha;حزب حركة النھضة;1354;0,327211213;8;11900;336;124;4138;4598
Dhehiba;الذهيبة;Liste partisane;Ennahdha;حزب حركة النھضة;263;0,347883598;4;2137;36;10;756;802
Rejiche;الرجيش;Liste partisane;Ennahdha;حزب حركة النھضة;441;0,152226441;3;5454;74;53;2897;3024
Errakhmet;الرخمات;Liste partisane;Ennahdha;حزب حركة النھضة;826;0,365163572;7;6322;99;26;2262;2387
Redeyef;الرديف;Liste partisane;Ennahdha;حزب حركة النھضة;1173;0,210933285;5;13028;172;88;5561;5821
Regueb;الرقاب;Liste partisane;Ennahdha;حزب حركة النھضة;3178;0,387372014;9;24066;210;105;8204;8519
Errouhia;الروحية;Liste partisane;Ennahdha;حزب حركة النھضة;266;0,081246182;2;7749;332;86;3274;3692
Ezzarat;الزارات;Liste partisane;Ennahdha;حزب حركة النھضة;654;0,301660517;4;5220;67;68;2168;2303
Ezzriba;الزريبة;Liste partisane;Ennahdha;حزب حركة النھضة;1274;0,237908497;4;12590;268;112;5355;5735
